product id,real qty
6082314,800
6006327,4200
6008833,720
6002848,4200
6008741,360
600516,1440
6045784,240
6043056,240
6025816,360
6012373,480
6060602,200
6030063,400
6008758,360
601774,720
602112,960
6065881,480
6025038,360
6003234,1800
6027803,480
6003739,960
6068271,720
6071271,360
6030018,960
6065843,240
6025823,360
6068257,240
6074043,200
601645,1200
6037659,3000
6072674,120
6036959,360
602109,1440
6001261,480
6008765,360
6071127,300
6019396,480
6071110,300
6008840,360
6002701,1440
6004750,120
6040390,0
6083267,832
6052522,320
6074036,320
6040352,320
6040376,640
6071264,300
6071240,320
6040406,320
6052515,320
6040369,320
6078157,360
